**ACTUATORS**
Actuator,Weather Data,Outdoor Dry Bulb,Environment;
Actuator,Weather Data,Outdoor Dew Point,Environment;
Actuator,Weather Data,Outdoor Relative Humidity,Environment;
Actuator,Weather Data,Diffuse Solar,Environment;
Actuator,Weather Data,Direct Solar,Environment;
Actuator,Weather Data,Wind Speed,Environment;
Actuator,Weather Data,Wind Direction,Environment;
Actuator,Schedule:Compact,Schedule Value,OCCUPY-1;
Actuator,Schedule:Compact,Schedule Value,LIGHTS-1;
Actuator,Schedule:Compact,Schedule Value,EQUIP-1;
Actuator,Schedule:Compact,Schedule Value,INFIL-SCH;
Actuator,Schedule:Compact,Schedule Value,ACTSCHD;
Actuator,Schedule:Compact,Schedule Value,SHADETRANSSCH;
Actuator,Schedule:Compact,Schedule Value,HTG-SETP-SCH;
Actuator,Schedule:Compact,Schedule Value,CLG-SETP-SCH;
Actuator,Schedule:Compact,Schedule Value,FANAVAILSCHED;
Actuator,Schedule:Compact,Schedule Value,MIN OA SCHED;
Actuator,Schedule:Compact,Schedule Value,HVACTEMPLATE-ALWAYS 4;
Actuator,Schedule:Compact,Schedule Value,HVACTEMPLATE-ALWAYS 1;
Actuator,Schedule:Compact,Schedule Value,HVACTEMPLATE-ALWAYS 12.8;
Actuator,Schedule:Compact,Schedule Value,HVACTEMPLATE-ALWAYS 10.0;
Actuator,Schedule:Compact,Schedule Value,HVACTEMPLATE-ALWAYS 7.22;
Actuator,Schedule:Compact,Schedule Value,HVACTEMPLATE-ALWAYS 29.4;
Actuator,Material,Surface Property Solar Absorptance,WD10;
Actuator,Material,Surface Property Thermal Absorptance,WD10;
Actuator,Material,Surface Property Visible Absorptance,WD10;
Actuator,Material,Surface Property Solar Absorptance,RG01;
Actuator,Material,Surface Property Thermal Absorptance,RG01;
Actuator,Material,Surface Property Visible Absorptance,RG01;
Actuator,Material,Surface Property Solar Absorptance,BR01;
Actuator,Material,Surface Property Thermal Absorptance,BR01;
Actuator,Material,Surface Property Visible Absorptance,BR01;
Actuator,Material,Surface Property Solar Absorptance,IN46;
Actuator,Material,Surface Property Thermal Absorptance,IN46;
Actuator,Material,Surface Property Visible Absorptance,IN46;
Actuator,Material,Surface Property Solar Absorptance,WD01;
Actuator,Material,Surface Property Thermal Absorptance,WD01;
Actuator,Material,Surface Property Visible Absorptance,WD01;
Actuator,Material,Surface Property Solar Absorptance,PW03;
Actuator,Material,Surface Property Thermal Absorptance,PW03;
Actuator,Material,Surface Property Visible Absorptance,PW03;
Actuator,Material,Surface Property Solar Absorptance,IN02;
Actuator,Material,Surface Property Thermal Absorptance,IN02;
Actuator,Material,Surface Property Visible Absorptance,IN02;
Actuator,Material,Surface Property Solar Absorptance,GP01;
Actuator,Material,Surface Property Thermal Absorptance,GP01;
Actuator,Material,Surface Property Visible Absorptance,GP01;
Actuator,Material,Surface Property Solar Absorptance,GP02;
Actuator,Material,Surface Property Thermal Absorptance,GP02;
Actuator,Material,Surface Property Visible Absorptance,GP02;
Actuator,Material,Surface Property Solar Absorptance,CC03;
Actuator,Material,Surface Property Thermal Absorptance,CC03;
Actuator,Material,Surface Property Visible Absorptance,CC03;
